Linux 2.6.32-504.el6.x86_64 (hp440srv) 	07/06/17 	_x86_64_	(16 CPU)

15:35:03        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
15:35:08           lo    773.35    773.35   1108.19   1108.19      0.00      0.00      0.00
15:35:08         eth0     59.12      0.00      7.69      0.00      0.00      0.00      4.41
15:35:08         eth1    655.91    601.40    192.68    100.49      0.00      0.00      4.41
15:35:08         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:08         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:08        bond0    715.03    601.40    200.37    100.49      0.00      0.00      8.82
15:35:13           lo    111.27    111.27     99.62     99.62      0.00      0.00      0.00
15:35:13         eth0     56.14      0.00      7.91      0.00      0.00      0.00      6.24
15:35:13         eth1     99.80     60.97     29.61     26.24      0.00      0.00      6.04
15:35:13         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:13         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:13        bond0    155.94     60.97     37.52     26.24      0.00      0.00     12.27
15:35:18           lo     60.24     60.24     47.52     47.52      0.00      0.00      0.00
15:35:18         eth0     60.24      0.00      8.19      0.00      0.00      0.00      5.22
15:35:18         eth1     73.29     29.92     14.07     18.35      0.00      0.00      5.22
15:35:18         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:18         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:18        bond0    133.53     29.92     22.27     18.35      0.00      0.00     10.44
15:35:23           lo     83.33     83.33     95.12     95.12      0.00      0.00      0.00
15:35:23         eth0     57.83      0.00      8.39      0.00      0.00      0.00      4.82
15:35:23         eth1     75.30     37.35     15.52     19.09      0.00      0.00      4.82
15:35:23         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:23         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:23        bond0    133.13     37.35     23.91     19.09      0.00      0.00      9.64
15:35:28           lo     56.71     56.71     48.00     48.00      0.00      0.00      0.00
15:35:28         eth0     60.92      0.00      7.74      0.00      0.00      0.00      4.61
15:35:28         eth1     74.15     28.26     13.07     15.96      0.00      0.00      4.81
15:35:28         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:28         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:28        bond0    135.07     28.26     20.81     15.96      0.00      0.00      9.42
Average:           lo    217.18    217.18    280.00    280.00      0.00      0.00      0.00
Average:         eth0     58.85      0.00      7.98      0.00      0.00      0.00      5.06
Average:         eth1    195.87    151.75     53.04     36.05      0.00      0.00      5.06
Average:         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        bond0    254.72    151.75     61.03     36.05      0.00      0.00     10.12
