IFace;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
lo;96.34;96.34;71.00;71.00;0.00;0.00;0.00
eth0;60.27;0.00;8.20;0.00;0.00;0.00;5.67
eth1;83.51;40.01;15.84;19.49;0.00;0.00;5.67
eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
bond0;143.79;40.01;24.04;19.49;0.00;0.00;11.34
