time;pgpgin/s;pgpgout/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s
15:35:08;0.00;53.71;63.93;0.00;492.99;0.00
15:35:13;0.00;80.48;66.40;0.00;643.66;0.00
15:35:18;0.00;71.49;65.86;0.00;131.53;0.00
15:35:23;0.00;57.83;80.52;0.00;721.89;0.00
15:35:28;0.00;113.03;61.72;0.00;616.63;0.00
