time;runq-sz;ldavg-1;ldavg-5;ldavg-15
15:35:33;2;0.16;0.14;0.10
15:35:38;1;0.15;0.14;0.10
15:35:43;0;0.14;0.14;0.10
15:35:48;0;0.13;0.14;0.10
15:35:53;0;0.12;0.14;0.10
