IFace;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
lo;104.30;104.30;84.35;84.35;0.00;0.00;0.00
eth0;61.92;0.00;8.86;0.00;0.00;0.00;5.75
eth1;82.95;39.65;16.89;21.73;0.00;0.00;5.71
eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
bond0;144.87;39.65;25.75;21.73;0.00;0.00;11.46
