IFace;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
lo;249.32;249.32;357.23;357.23;0.00;0.00;0.00
eth0;58.20;0.00;7.86;0.00;0.00;0.00;4.74
eth1;233.84;184.41;78.03;49.77;0.00;0.00;4.78
eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
bond0;292.04;184.41;85.90;49.77;0.00;0.00;9.53
