time;pgpgin/s;pgpgout/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s
15:35:33;0.00;80.48;33.80;0.00;137.83;0.00
15:35:38;0.00;81.93;45.98;0.00;83.94;0.00
15:35:43;0.00;56.34;48.69;0.00;464.79;0.00
15:35:48;0.00;70.68;126.31;0.00;208.63;0.00
15:35:53;0.00;69.22;119.52;0.00;92.96;0.00
