time;pgpgin/s;pgpgout/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s
15:36:48;0.00;88.35;134.14;0.00;114.86;0.00
15:36:53;0.00;59.32;92.38;0.00;392.99;0.00
15:36:58;0.00;85.94;55.82;0.00;91.97;0.00
15:37:03;0.00;82.90;78.67;0.00;245.07;0.00
15:37:08;0.00;58.06;157.86;0.00;352.42;0.00
