time;runq-sz;ldavg-1;ldavg-5;ldavg-15
15:35:58;0;0.11;0.13;0.10
15:36:03;0;0.10;0.13;0.10
15:36:08;0;0.09;0.13;0.10
15:36:13;0;0.08;0.13;0.10
15:36:18;0;0.08;0.12;0.10
