IFace;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
lo;136.12;136.12;85.53;85.53;0.00;0.00;0.00
eth0;57.77;0.00;8.16;0.00;0.00;0.00;5.54
eth1;85.62;48.37;17.96;23.65;0.00;0.00;5.54
eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
bond0;143.39;48.37;26.12;23.65;0.00;0.00;11.09
