time;IFace;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
15:36:23;lo;98.19;98.19;93.96;93.96;0.00;0.00;0.00
15:36:23;eth0;59.64;0.00;8.41;0.00;0.00;0.00;5.22
15:36:23;eth1;83.33;44.38;16.94;21.35;0.00;0.00;5.22
15:36:23;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:23;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:23;bond0;142.97;44.38;25.34;21.35;0.00;0.00;10.44
15:36:28;lo;79.52;79.52;54.94;54.94;0.00;0.00;0.00
15:36:28;eth0;52.61;0.00;7.62;0.00;0.00;0.00;4.82
15:36:28;eth1;79.12;43.98;15.63;18.96;0.00;0.00;5.02
15:36:28;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:28;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:28;bond0;131.73;43.98;23.25;18.96;0.00;0.00;9.84
15:36:33;lo;116.10;116.10;102.05;102.05;0.00;0.00;0.00
15:36:33;eth0;62.98;0.00;8.60;0.00;0.00;0.00;6.64
15:36:33;eth1;93.96;54.73;20.28;31.03;0.00;0.00;6.84
15:36:33;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:33;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:33;bond0;156.94;54.73;28.88;31.03;0.00;0.00;13.48
15:36:38;lo;50.91;50.91;52.63;52.63;0.00;0.00;0.00
15:36:38;eth0;62.17;0.00;8.23;0.00;0.00;0.00;5.63
15:36:38;eth1;85.51;43.66;16.99;21.65;0.00;0.00;5.43
15:36:38;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:38;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:38;bond0;147.69;43.66;25.22;21.65;0.00;0.00;11.07
15:36:43;lo;335.27;335.27;123.95;123.95;0.00;0.00;0.00
15:36:43;eth0;51.50;0.00;7.95;0.00;0.00;0.00;5.41
15:36:43;eth1;86.17;55.11;19.98;25.29;0.00;0.00;5.21
15:36:43;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:43;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:43;bond0;137.68;55.11;27.93;25.29;0.00;0.00;10.62
