time;runq-sz;ldavg-1;ldavg-5;ldavg-15
15:35:08;0;0.16;0.14;0.10
15:35:13;0;0.23;0.16;0.11
15:35:18;0;0.21;0.15;0.11
15:35:23;0;0.20;0.15;0.11
15:35:28;0;0.18;0.15;0.11
