time;cpuid;pct_usr;pct_sys;pct_wio;pct_idle
15:36:48;all;1.26;0.31;0.01;98.41
15:36:48;0;2.41;0.60;0.00;96.99
15:36:48;1;2.01;0.80;0.00;97.19
15:36:48;2;1.41;0.20;0.00;98.39
15:36:48;3;0.60;0.20;0.00;99.20
15:36:48;4;0.80;0.20;0.00;98.99
15:36:48;5;0.80;0.20;0.20;98.80
15:36:48;6;0.40;0.20;0.00;99.40
15:36:48;7;1.60;0.40;0.00;98.00
15:36:48;8;1.60;0.60;0.00;97.80
15:36:48;9;2.20;0.20;0.00;97.60
15:36:48;10;1.60;0.40;0.00;98.00
15:36:48;11;2.40;0.40;0.00;97.21
15:36:48;12;0.40;0.20;0.00;99.40
15:36:48;13;0.40;0.40;0.00;99.20
15:36:48;14;1.00;0.20;0.00;98.80
15:36:48;15;0.40;0.20;0.00;99.40
15:36:53;all;1.44;0.30;0.00;98.26
15:36:53;0;3.01;0.40;0.00;96.59
15:36:53;1;1.60;1.00;0.00;97.39
15:36:53;2;2.80;0.60;0.00;96.60
15:36:53;3;0.80;0.20;0.00;99.00
15:36:53;4;1.60;0.20;0.00;98.20
15:36:53;5;1.00;0.00;0.00;99.00
15:36:53;6;0.60;0.20;0.00;99.20
15:36:53;7;4.01;0.20;0.00;95.79
15:36:53;8;1.40;0.40;0.00;98.20
15:36:53;9;2.01;0.40;0.00;97.59
15:36:53;10;1.20;0.20;0.00;98.60
15:36:53;11;1.20;0.00;0.00;98.80
15:36:53;12;0.40;0.20;0.00;99.40
15:36:53;13;0.20;0.20;0.00;99.60
15:36:53;14;0.80;0.40;0.00;98.80
15:36:53;15;0.60;0.20;0.00;99.20
15:36:58;all;0.89;0.25;0.00;98.86
15:36:58;0;1.81;0.40;0.00;97.79
15:36:58;1;1.21;0.80;0.00;97.99
15:36:58;2;1.41;0.20;0.00;98.39
15:36:58;3;0.60;0.20;0.00;99.20
15:36:58;4;0.60;0.20;0.00;99.20
15:36:58;5;0.80;0.40;0.00;98.80
15:36:58;6;0.40;0.00;0.00;99.60
15:36:58;7;0.80;0.20;0.00;99.00
15:36:58;8;1.20;0.40;0.00;98.40
15:36:58;9;1.40;0.40;0.00;98.20
15:36:58;10;1.20;0.20;0.00;98.60
15:36:58;11;0.80;0.20;0.00;99.00
15:36:58;12;0.40;0.20;0.00;99.40
15:36:58;13;0.20;0.20;0.00;99.60
15:36:58;14;0.80;0.00;0.00;99.20
15:36:58;15;0.40;0.20;0.00;99.40
15:37:03;all;1.59;0.40;0.00;98.01
15:37:03;0;4.43;1.01;0.00;94.57
15:37:03;1;2.00;1.00;0.00;96.99
15:37:03;2;2.40;0.40;0.00;97.19
15:37:03;3;1.40;0.20;0.00;98.40
15:37:03;4;2.61;0.60;0.00;96.79
15:37:03;5;1.20;0.20;0.00;98.59
15:37:03;6;0.80;0.40;0.00;98.80
15:37:03;7;1.61;0.60;0.00;97.79
15:37:03;8;1.80;0.40;0.00;97.80
15:37:03;9;1.60;0.40;0.00;98.00
15:37:03;10;1.60;0.20;0.00;98.20
15:37:03;11;1.00;0.20;0.00;98.80
15:37:03;12;0.80;0.20;0.00;99.00
15:37:03;13;1.00;0.20;0.00;98.80
15:37:03;14;1.00;0.20;0.00;98.80
15:37:03;15;0.60;0.20;0.00;99.20
15:37:08;all;3.54;0.80;0.00;95.65
15:37:08;0;5.65;0.81;0.00;93.55
15:37:08;1;2.61;0.80;0.00;96.59
15:37:08;2;3.41;1.41;0.00;95.18
15:37:08;3;0.80;0.20;0.00;99.00
15:37:08;4;4.07;1.83;0.00;94.09
15:37:08;5;1.00;0.40;0.00;98.59
15:37:08;6;0.40;0.20;0.00;99.40
15:37:08;7;11.56;1.42;0.00;87.02
15:37:08;8;10.55;2.43;0.00;87.02
15:37:08;9;4.43;0.80;0.00;94.77
15:37:08;10;6.00;1.00;0.00;93.00
15:37:08;11;3.59;0.80;0.00;95.62
15:37:08;12;0.40;0.20;0.00;99.40
15:37:08;13;0.20;0.00;0.00;99.80
15:37:08;14;0.80;0.20;0.00;99.00
15:37:08;15;1.41;0.00;0.00;98.59
