Linux 2.6.32-504.el6.x86_64 (hp440srv) 	07/06/17 	_x86_64_	(16 CPU)

15:35:28        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:35:33        all      0.95      0.00      0.28      0.00      0.00     98.77
15:35:33          0      1.61      0.00      0.60      0.00      0.00     97.79
15:35:33          1      2.40      0.00      0.60      0.00      0.00     96.99
15:35:33          2      1.00      0.00      0.20      0.00      0.00     98.80
15:35:33          3      0.60      0.00      0.20      0.00      0.00     99.20
15:35:33          4      0.80      0.00      0.20      0.00      0.00     99.00
15:35:33          5      0.80      0.00      0.20      0.00      0.00     99.00
15:35:33          6      0.40      0.00      0.20      0.00      0.00     99.40
15:35:33          7      0.40      0.00      0.00      0.00      0.00     99.60
15:35:33          8      1.40      0.00      0.40      0.00      0.00     98.20
15:35:33          9      1.21      0.00      0.40      0.00      0.00     98.39
15:35:33         10      1.20      0.00      0.40      0.00      0.00     98.40
15:35:33         11      1.00      0.00      0.20      0.00      0.00     98.80
15:35:33         12      0.60      0.00      0.00      0.00      0.00     99.40
15:35:33         13      0.20      0.00      0.00      0.00      0.00     99.80
15:35:33         14      1.00      0.00      0.20      0.00      0.00     98.80
15:35:33         15      0.20      0.00      0.20      0.00      0.00     99.60
15:35:38        all      0.94      0.00      0.28      0.00      0.00     98.79
15:35:38          0      1.61      0.00      0.60      0.00      0.00     97.79
15:35:38          1      1.41      0.00      0.60      0.00      0.00     97.99
15:35:38          2      1.00      0.00      0.20      0.00      0.00     98.80
15:35:38          3      0.80      0.00      0.20      0.00      0.00     99.00
15:35:38          4      0.60      0.00      0.20      0.00      0.00     99.20
15:35:38          5      0.80      0.00      0.20      0.00      0.00     99.00
15:35:38          6      0.40      0.00      0.00      0.00      0.00     99.60
15:35:38          7      0.60      0.00      0.20      0.00      0.00     99.20
15:35:38          8      1.40      0.00      0.40      0.00      0.00     98.20
15:35:38          9      1.40      0.00      0.40      0.00      0.00     98.20
15:35:38         10      1.60      0.00      0.20      0.00      0.00     98.20
