time;dev;pct_busy;avque;r+w/s;blks/s;avwait;avserv
09:12:46;fp0;1;0.0;28;576;0.0;0.7
09:12:46;fp1;1;0.0;28;362;0.0;0.6
09:12:46;iscsi0;0;0.0;0;0;0.0;0.0
09:12:46;mpt_sas1;0;0.0;0;0;0.0;0.0
09:12:46;mpt_sas2;1;0.0;14;117;0.0;2.6
09:12:46;mpt_sas3;1;0.0;14;117;0.0;2.7
09:12:46;mpt_sas4;0;0.0;0;0;0.0;0.0
09:12:46;mpt_sas5;0;0.0;0;0;0.0;0.0
09:12:46;mpt_sas6;0;0.0;0;0;0.0;0.0
09:12:46;mpt_sas7;0;0.0;0;0;0.0;0.0
09:12:46;mpt_sas8;0;0.0;0;0;0.0;0.0
09:12:46;mpt_sas9;0;0.0;0;0;0.0;0.3
09:12:46;scsi_vhc;0;0.0;0;0;0.0;0.0
09:12:46;nfs90;0;0.0;0;0;0.0;0.0
09:12:46;nfs91;0;0.0;0;0;0.0;0.0
09:12:46;nfs92;0;0.0;0;0;0.0;0.0
09:12:46;nfs93;0;0.0;0;0;0.0;0.0
09:12:46;nfs94;0;0.0;0;0;0.0;0.0
09:12:46;nfs95;0;0.0;0;0;0.0;0.0
09:12:46;nfs96;0;0.0;0;0;0.0;0.0
09:12:46;nfs97;0;0.0;0;0;0.0;0.0
09:12:46;sd3;1;0.0;15;117;0.0;2.6
09:12:46;sd4;1;0.0;15;117;0.0;2.6
09:12:46;sd5;0;0.0;0;0;0.0;0.0
09:12:46;sd6;0;0.0;0;0;0.0;0.0
09:12:46;sd7;0;0.0;0;0;0.0;0.0
09:12:46;sd8;0;0.0;0;0;0.0;0.0
09:12:46;sd9;0;0.0;0;0;0.0;0.0
09:12:46;ssd135;0;0.0;13;168;0.0;0.5
09:12:46;ssd136;0;0.0;22;520;0.0;0.7
09:12:46;ssd137;0;0.0;0;0;0.0;0.0
09:12:46;ssd138;0;0.0;0;0;0.0;0.0
09:12:46;ssd139;0;0.0;0;0;0.0;0.0
09:12:46;ssd140;1;0.0;21;249;0.0;0.7
09:12:46;ssd141;0;0.0;0;0;0.0;0.0
09:12:51;fp0;1;0.0;33;475;0.0;0.6
09:12:51;fp1;1;0.0;33;773;0.0;0.7
09:12:51;iscsi0;0;0.0;0;0;0.0;0.0
09:12:51;mpt_sas1;0;0.0;0;0;0.0;0.0
09:12:51;mpt_sas2;0;0.0;0;0;0.0;0.0
09:12:51;mpt_sas3;0;0.0;0;0;0.0;0.0
09:12:51;mpt_sas4;0;0.0;0;0;0.0;0.0
09:12:51;mpt_sas5;0;0.0;0;0;0.0;0.0
09:12:51;mpt_sas6;0;0.0;0;0;0.0;0.0
09:12:51;mpt_sas7;0;0.0;0;0;0.0;0.0
09:12:51;mpt_sas8;0;0.0;0;0;0.0;0.0
09:12:51;mpt_sas9;0;0.0;0;0;0.0;0.3
09:12:51;scsi_vhc;0;0.0;0;0;0.0;0.0
09:12:51;nfs90;0;0.0;0;0;0.0;0.0
09:12:51;nfs91;0;0.0;0;0;0.0;0.0
09:12:51;nfs92;0;0.0;0;0;0.0;0.0
09:12:51;nfs93;0;0.0;0;0;0.0;0.0
09:12:51;nfs94;0;0.0;0;0;0.0;0.0
09:12:51;nfs95;0;0.0;0;0;0.0;0.0
09:12:51;nfs96;0;0.0;0;0;0.0;0.0
09:12:51;nfs97;0;0.0;0;0;0.0;0.0
09:12:51;sd3;0;0.0;0;0;0.0;0.0
09:12:51;sd4;0;0.0;0;0;0.0;0.0
09:12:51;sd5;0;0.0;0;0;0.0;0.0
09:12:51;sd6;0;0.0;0;0;0.0;0.0
09:12:51;sd7;0;0.0;0;0;0.0;0.0
09:12:51;sd8;0;0.0;0;0;0.0;0.0
09:12:51;sd9;0;0.0;0;0;0.0;0.0
09:12:51;ssd135;0;0.0;13;146;0.0;0.5
09:12:51;ssd136;0;0.0;16;366;0.0;0.7
09:12:51;ssd137;0;0.0;0;0;0.0;0.0
09:12:51;ssd138;0;0.0;0;0;0.0;0.0
09:12:51;ssd139;0;0.0;13;140;0.0;0.6
09:12:51;ssd140;0;0.0;24;596;0.0;0.7
09:12:51;ssd141;0;0.0;0;0;0.0;0.0
09:12:56;fp0;0;0.0;13;100;0.0;0.6
09:12:56;fp1;0;0.0;13;195;0.0;0.6
09:12:56;iscsi0;0;0.0;0;0;0.0;0.0
09:12:56;mpt_sas1;0;0.0;0;0;0.0;0.0
09:12:56;mpt_sas2;0;0.0;0;0;0.0;0.0
09:12:56;mpt_sas3;0;0.0;0;0;0.0;0.0
09:12:56;mpt_sas4;0;0.0;0;0;0.0;0.0
09:12:56;mpt_sas5;0;0.0;0;0;0.0;0.0
09:12:56;mpt_sas6;0;0.0;0;0;0.0;0.0
09:12:56;mpt_sas7;0;0.0;0;0;0.0;0.0
09:12:56;mpt_sas8;0;0.0;0;0;0.0;0.0
09:12:56;mpt_sas9;0;0.0;0;0;0.0;0.3
09:12:56;scsi_vhc;0;0.0;0;0;0.0;0.0
09:12:56;nfs90;0;0.0;0;0;0.0;0.0
09:12:56;nfs91;0;0.0;0;0;0.0;0.0
09:12:56;nfs92;0;0.0;0;0;0.0;0.0
09:12:56;nfs93;0;0.0;0;0;0.0;0.0
09:12:56;nfs94;0;0.0;0;0;0.0;0.0
09:12:56;nfs95;0;0.0;0;0;0.0;0.0
09:12:56;nfs96;0;0.0;0;0;0.0;0.0
09:12:56;nfs97;0;0.0;0;0;0.0;0.0
09:12:56;sd3;0;0.0;0;0;0.0;0.0
09:12:56;sd4;0;0.0;0;0;0.0;0.0
09:12:56;sd5;0;0.0;0;0;0.0;0.0
09:12:56;sd6;0;0.0;0;0;0.0;0.0
09:12:56;sd7;0;0.0;0;0;0.0;0.0
09:12:56;sd8;0;0.0;0;0;0.0;0.0
09:12:56;sd9;0;0.0;0;0;0.0;0.0
09:12:56;ssd135;0;0.0;13;146;0.0;0.7
09:12:56;ssd136;0;0.0;13;150;0.0;0.6
09:12:56;ssd137;0;0.0;0;0;0.0;0.0
09:12:56;ssd138;0;0.0;0;0;0.0;0.0
09:12:56;ssd139;0;0.0;0;0;0.0;0.0
09:12:56;ssd140;0;0.0;0;0;0.0;0.0
09:12:56;ssd141;0;0.0;0;0;0.0;0.0
09:13:01;fp0;0;0.0;14;314;0.0;0.6
09:13:01;fp1;0;0.0;14;155;0.0;0.8
09:13:01;iscsi0;0;0.0;0;0;0.0;0.0
09:13:01;mpt_sas1;0;0.0;0;0;0.0;0.0
09:13:01;mpt_sas2;1;0.0;15;121;0.0;2.6
09:13:01;mpt_sas3;2;0.1;14;121;0.0;3.5
09:13:01;mpt_sas4;0;0.0;0;0;0.0;0.0
09:13:01;mpt_sas5;0;0.0;0;0;0.0;0.0
09:13:01;mpt_sas6;0;0.0;0;0;0.0;0.0
09:13:01;mpt_sas7;0;0.0;0;0;0.0;0.0
09:13:01;mpt_sas8;0;0.0;0;0;0.0;0.0
09:13:01;mpt_sas9;0;0.0;0;0;0.0;0.3
09:13:01;scsi_vhc;0;0.0;0;0;0.0;0.0
09:13:01;nfs90;0;0.0;0;0;0.0;0.0
09:13:01;nfs91;0;0.0;0;0;0.0;0.0
09:13:01;nfs92;0;0.0;0;0;0.0;0.0
09:13:01;nfs93;0;0.0;0;0;0.0;0.0
09:13:01;nfs94;0;0.0;0;0;0.0;0.0
09:13:01;nfs95;0;0.0;0;0;0.0;0.0
09:13:01;nfs96;0;0.0;0;0;0.0;0.0
09:13:01;nfs97;0;0.0;0;0;0.0;0.0
09:13:01;sd3;1;0.0;15;121;0.0;2.5
09:13:01;sd4;2;0.1;15;121;0.0;3.3
09:13:01;sd5;0;0.0;0;0;0.0;0.0
09:13:01;sd6;0;0.0;0;0;0.0;0.0
09:13:01;sd7;0;0.0;0;0;0.0;0.0
09:13:01;sd8;0;0.0;0;0;0.0;0.0
09:13:01;sd9;0;0.0;0;0;0.0;0.0
09:13:01;ssd135;0;0.0;14;168;0.0;0.6
09:13:01;ssd136;0;0.0;15;301;0.0;0.8
09:13:01;ssd137;0;0.0;0;0;0.0;0.0
09:13:01;ssd138;0;0.0;0;0;0.0;0.0
09:13:01;ssd139;0;0.0;0;0;0.0;0.0
09:13:01;ssd140;0;0.0;0;0;0.0;0.0
09:13:01;ssd141;0;0.0;0;0;0.0;0.0
09:13:06;fp0;0;0.0;14;258;0.0;0.8
09:13:06;fp1;1;0.0;14;137;0.0;1.1
09:13:06;iscsi0;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas1;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas2;2;0.1;29;669;0.0;2.8
09:13:06;mpt_sas3;4;0.1;30;669;0.0;3.7
09:13:06;mpt_sas4;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas5;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas6;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas7;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas8;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas9;0;0.0;0;0;0.0;0.3
09:13:06;scsi_vhc;0;0.0;0;0;0.0;0.0
09:13:06;nfs90;0;0.0;0;0;0.0;0.0
09:13:06;nfs91;0;0.0;0;0;0.0;0.0
09:13:06;nfs92;0;0.0;0;0;0.0;0.0
09:13:06;nfs93;0;0.0;0;0;0.0;0.0
09:13:06;nfs94;0;0.0;0;0;0.0;0.0
09:13:06;nfs95;0;0.0;0;0;0.0;0.0
09:13:06;nfs96;0;0.0;0;0;0.0;0.0
09:13:06;nfs97;0;0.0;0;0;0.0;0.0
09:13:06;sd3;2;0.1;30;669;0.0;2.7
09:13:06;sd4;4;0.1;30;669;0.0;3.6
09:13:06;sd5;0;0.0;0;0;0.0;0.0
09:13:06;sd6;0;0.0;0;0;0.0;0.0
09:13:06;sd7;0;0.0;0;0;0.0;0.0
09:13:06;sd8;0;0.0;0;0;0.0;0.0
09:13:06;sd9;0;0.0;0;0;0.0;0.0
09:13:06;ssd135;0;0.0;13;147;0.0;1.1
09:13:06;ssd136;0;0.0;15;248;0.0;0.8
09:13:06;ssd137;0;0.0;0;0;0.0;0.0
09:13:06;ssd138;0;0.0;0;0;0.0;0.0
09:13:06;ssd139;0;0.0;0;0;0.0;0.0
09:13:06;ssd140;0;0.0;0;0;0.0;0.0
09:13:06;ssd141;0;0.0;0;0;0.0;0.0
09:13:06;fp1;1;0.0;20;325;0.0;0.7
09:13:06;iscsi0;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas1;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas2;1;0.0;12;181;0.0;2.7
09:13:06;mpt_sas3;1;0.0;12;181;0.0;3.4
09:13:06;mpt_sas4;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas5;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas6;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas7;0;0.0;0;0;0.0;0.0
09:13:06;mpt_sas8;0;0.0;0;0;0.0;0.0
