time;dev;pct_busy;avque;r+w/s;blks/s;avwait;avserv
09:12:35;fp1;1;0.0;35;604;0.0;0.9
09:12:35;iscsi0;0;0.0;0;0;0.0;0.0
09:12:35;mpt_sas1;0;0.0;0;0;0.0;0.0
09:12:35;mpt_sas2;0;0.0;0;0;0.0;0.0
09:12:35;mpt_sas3;0;0.0;0;0;0.0;0.0
09:12:35;mpt_sas4;0;0.0;0;0;0.0;0.0
09:12:35;mpt_sas5;0;0.0;0;0;0.0;0.0
09:12:35;mpt_sas6;0;0.0;0;0;0.0;0.0
09:12:35;mpt_sas7;0;0.0;0;0;0.0;0.0
09:12:35;mpt_sas8;0;0.0;0;0;0.0;0.0
09:12:35;mpt_sas9;0;0.0;0;0;0.0;0.3
09:12:35;scsi_vhc;0;0.0;0;0;0.0;0.0
09:12:35;nfs90;0;0.0;0;0;0.0;0.0
09:12:35;nfs91;0;0.0;0;0;0.0;0.0
09:12:35;nfs92;0;0.0;0;0;0.0;0.0
09:12:35;nfs93;0;0.0;0;0;0.0;0.0
09:12:35;nfs94;0;0.0;0;0;0.0;0.0
09:12:35;nfs95;0;0.0;0;0;0.0;0.0
09:12:35;nfs96;0;0.0;0;0;0.0;0.0
09:12:35;nfs97;0;0.0;0;0;0.0;0.0
09:12:35;sd3;0;0.0;0;0;0.0;0.0
09:12:35;sd4;0;0.0;0;0;0.0;0.0
09:12:35;sd5;0;0.0;0;0;0.0;0.0
09:12:35;sd6;0;0.0;0;0;0.0;0.0
09:12:35;sd7;0;0.0;0;0;0.0;0.0
09:12:35;sd8;0;0.0;0;0;0.0;0.0
09:12:35;sd9;0;0.0;0;0;0.0;0.0
09:12:35;ssd135;0;0.0;12;142;0.0;0.5
09:12:35;ssd136;0;0.0;13;150;0.0;1.0
09:12:35;ssd137;0;0.0;0;0;0.0;0.0
09:12:35;ssd138;0;0.0;13;232;0.0;0.7
09:12:35;ssd139;0;0.0;0;0;0.0;0.0
09:12:35;ssd140;1;0.0;31;1081;0.0;1.0
09:12:35;ssd141;0;0.0;0;0;0.0;0.0
09:12:40;fp0;1;0.0;24;743;0.0;0.7
09:12:40;fp1;1;0.0;24;484;0.0;0.8
09:12:40;iscsi0;0;0.0;0;0;0.0;0.0
09:12:40;mpt_sas1;0;0.0;0;0;0.0;0.0
09:12:40;mpt_sas2;0;0.0;0;0;0.0;0.0
09:12:40;mpt_sas3;0;0.0;0;0;0.0;0.0
09:12:40;mpt_sas4;0;0.0;0;0;0.0;0.0
09:12:40;mpt_sas5;0;0.0;0;0;0.0;0.0
09:12:40;mpt_sas6;0;0.0;0;0;0.0;0.0
09:12:40;mpt_sas7;0;0.0;0;0;0.0;0.0
09:12:40;mpt_sas8;0;0.0;0;0;0.0;0.0
09:12:40;mpt_sas9;0;0.0;0;0;0.0;0.4
09:12:40;scsi_vhc;0;0.0;0;0;0.0;0.0
09:12:40;nfs90;0;0.0;0;0;0.0;0.0
09:12:40;nfs91;0;0.0;0;0;0.0;0.0
09:12:40;nfs92;0;0.0;0;0;0.0;0.0
09:12:40;nfs93;0;0.0;0;0;0.0;0.0
09:12:40;nfs94;0;0.0;0;0;0.0;0.0
09:12:40;nfs95;0;0.0;0;0;0.0;0.0
09:12:40;nfs96;0;0.0;0;0;0.0;0.0
09:12:40;nfs97;0;0.0;0;0;0.0;0.0
09:12:40;sd3;0;0.0;0;0;0.0;0.0
09:12:40;sd4;0;0.0;0;0;0.0;0.0
09:12:40;sd5;0;0.0;0;0;0.0;0.0
09:12:40;sd6;0;0.0;0;0;0.0;0.0
09:12:40;sd7;0;0.0;0;0;0.0;0.0
09:12:40;sd8;0;0.0;0;0;0.0;0.0
09:12:40;sd9;0;0.0;0;0;0.0;0.0
09:12:40;ssd135;0;0.0;23;557;0.0;0.8
09:12:40;ssd136;0;0.0;25;671;0.0;0.7
09:12:40;ssd137;0;0.0;0;0;0.0;0.0
09:12:40;ssd138;0;0.0;0;0;0.0;0.0
09:12:40;ssd139;0;0.0;0;0;0.0;0.0
09:12:40;ssd140;0;0.0;0;0;0.0;0.0
09:12:40;ssd141;0;0.0;0;0;0.0;0.0
09:12:40;fp1;2;0.1;30;673;0.0;2.3
09:12:40;iscsi0;0;0.0;0;0;0.0;0.0
