time;pgout/s;ppgout/s;pgfree/s;pgscan/s
09:12:20;0.00;0.00;0.00;0.00
09:12:25;0.00;0.00;0.00;0.00
09:12:30;0.00;0.00;0.00;0.00
09:12:35;0.00;0.00;0.00;0.00
09:12:40;0.00;0.00;0.00;0.00
